NONE	999	999	999

VF	1	5	1, 2, 3, 4, 5
LK	6	6	6
MF	7	11	7, 8, 9, 10, 11
VC	12	12	12

VF	1	2	1, 2
LK	3	3	3
MF	4	14	4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
VC	15	15	15

VF	2	2	2
VF	2	9	2, 3, 4, 5, 6, 7, 8, 9
LK	3	3	3
MF	4	9	4, 5, 6, 7, 8, 9
LK	12	12	12
MF	13	30	13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30

VF	1	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
LK	11	11	11
MF	12	17	12, 13, 14, 15, 16, 17
VC	18	18	18

VF	2	2	2
VF	2	12	2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
LK	3	3	3
FKONJ	3	6	3, 4, 5, 6
FKOORD	3	12	3, 4, 5, 6, 7, 8, 9, 10, 11, 12
MF	4	5	4, 5
VC	6	6	6
LK	8	8	8
FKONJ	8	12	8, 9, 10, 11, 12
MF	9	12	9, 10, 11, 12
LK	15	15	15
MF	16	17	16, 17

VF	1	1	1
LK	2	2	2
MF	3	18	3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18
VC	19	19	19

VF	1	1	1
LK	2	2	2
MF	3	8	3, 4, 5, 6, 7, 8
VC	9	9	9

VF	1	7	1, 2, 3, 4, 5, 6, 7
LK	8	8	8
MF	9	22	9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22
VC	23	23	23

VF	1	1	1
LK	2	2	2
MF	3	9	3, 4, 5, 6, 7, 8, 9

VF	1	1	1
LK	2	2	2
MF	3	10	3, 4, 5, 6, 7, 8, 9, 10

VF	1	2	1, 2
LK	3	3	3
MF	4	14	4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
VC	15	15	15

VF	1	3	1, 2, 3
LK	4	4	4
MF	5	24	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24
VC	25	25	25

VF	2	3	2, 3
LK	4	4	4
MF	5	15	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15
VC	16	16	16

VF	1	1	1
VF	1	5	1, 2, 3, 4, 5
LK	2	2	2
MF	3	4	3, 4
VC	5	5	5
LK	8	8	8
MF	9	9	9

VF	1	2	1, 2
LK	3	3	3
MF	4	12	4, 5, 6, 7, 8, 9, 10, 11, 12

VF	1	2	1, 2
LK	3	3	3
MF	4	6	4, 5, 6

VF	1	3	1, 2, 3
LK	4	4	4
MF	5	9	5, 6, 7, 8, 9
VC	10	11	10, 11

VF	1	2	1, 2
LK	3	3	3
FKONJ	3	8	3, 4, 5, 6, 7, 8
FKOORD	3	15	3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15
MF	4	8	4, 5, 6, 7, 8
LK	10	10	10
FKONJ	10	15	10, 11, 12, 13, 14, 15
MF	11	14	11, 12, 13, 14
VC	15	15	15

MF	1	1	1

MF	1	3	1, 2, 3
VC	4	4	4

VF	1	2	1, 2
LK	3	3	3
MF	4	13	4, 5, 6, 7, 8, 9, 10, 11, 12, 13
VC	14	14	14

VF	1	2	1, 2
LK	3	3	3
MF	4	12	4, 5, 6, 7, 8, 9, 10, 11, 12
VC	13	13	13

VF	1	2	1, 2
LK	3	3	3
MF	4	5	4, 5
VC	6	6	6

VF	1	2	1, 2
LK	3	3	3
FKONJ	3	8	3, 4, 5, 6, 7, 8
FKOORD	3	21	3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21
MF	4	7	4, 5, 6, 7
VC	8	8	8
LK	10	10	10
FKONJ	10	13	10, 11, 12, 13
MF	11	13	11, 12, 13
LK	15	15	15
FKONJ	15	21	15, 16, 17, 18, 19, 20, 21
MF	16	21	16, 17, 18, 19, 20, 21

VF	1	1	1
LK	2	2	2
MF	3	6	3, 4, 5, 6
VC	7	7	7

MF	1	1	1

NONE	999	999	999

VF	1	2	1, 2
LK	3	3	3
MF	4	7	4, 5, 6, 7
C	10	10	10
NF	10	20	10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
MF	11	19	11, 12, 13, 14, 15, 16, 17, 18, 19
VC	20	20	20
VF	48	49	48, 49
LK	50	50	50
MF	51	51	51
VF	53	53	53
LK	54	54	54
MF	55	55	55

VF	1	3	1, 2, 3
LK	4	4	4
VF	6	6	6
LK	7	7	7
MF	8	11	8, 9, 10, 11

C	1	1	1
VF	1	17	1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17
