NX	1	1	1
PX	2	3	2, 3

PX	1	1	1
NX	2	2	2
NX	3	3	3
NX	4	4	4
VX	5	5	5
AX	6	6	6
NX	7	8	7, 8
NX	9	10	9, 10
VC	11	11	11

PX	1	2	1, 2
VX	3	3	3
NX	4	5	4, 5
NX	6	8	6, 7, 8
NX	9	9	9
NX	10	10	10
NX	11	12	11, 12
NX	13	14	13, 14
VX	15	15	15

NX	2	2	2
VX	3	3	3
NX	4	6	4, 5, 6
PX	7	9	7, 8, 9
VX	12	12	12
PX	13	15	13, 14, 15
NX	16	17	16, 17
PX	18	19	18, 19
NX	20	20	20
NX	21	22	21, 22
NX	23	24	23, 24
NX	25	26	25, 26
PX	27	27	27
NX	28	28	28
NX	29	29	29

PX	1	4	1, 2, 3, 4
ADVX	6	6	6
ADVX	7	7	7
PX	8	9	8, 9
VX	10	10	10
NX	11	11	11
NX	12	13	12, 13
AX	14	14	14
NX	15	16	15, 16
VX	17	17	17

NX	2	2	2
VX	3	3	3
NX	4	5	4, 5
VX	6	6	6
VX	8	8	8
PX	9	12	9, 10, 11, 12
VX	15	15	15
NX	16	16	16
ADVX	17	17	17

NX	1	1	1
VX	2	2	2
NX	3	3	3
NX	4	5	4, 5
NX	7	7	7
NX	8	8	8
NX	9	10	9, 10
NX	11	14	11, 12, 13, 14
PX	16	18	16, 17, 18
VX	19	19	19

NX	1	1	1
VX	2	2	2
PX	3	5	3, 4, 5
PX	6	7	6, 7
VX	8	8	8

PX	1	2	1, 2
PX	3	5	3, 4, 5
VX	6	6	6
NX	7	7	7
NX	8	9	8, 9
ADVX	10	10	10
PX	11	12	11, 12
ADVX	13	13	13
PX	14	16	14, 15, 16
NX	17	17	17
PX	18	19	18, 19
VX	20	20	20

ADVX	1	1	1
VX	2	2	2
NX	3	3	3
NX	4	5	4, 5
ADVX	6	6	6
PX	7	8	7, 8

NX	1	1	1
VX	2	2	2
PX	3	3	3
NX	4	5	4, 5
PX	6	8	6, 7, 8
PX	9	10	9, 10

NX	1	2	1, 2
VX	3	3	3
NX	4	6	4, 5, 6
PX	7	8	7, 8
NX	9	10	9, 10
PX	11	13	11, 12, 13
VC	14	14	14

NX	1	1	1
NX	2	3	2, 3
VX	4	4	4
NX	5	6	5, 6
PX	7	11	7, 8, 9, 10, 11
PX	13	16	13, 14, 15, 16
sPX	17	19	17, 18, 19
PX	20	21	20, 21
PX	22	23	22, 23
VX	24	24	24

NX	2	3	2, 3
VX	4	4	4
NX	5	5	5
PX	6	8	6, 7, 8
NX	9	10	9, 10
PX	11	12	11, 12
ADVX	13	13	13
NX	14	15	14, 15
VX	16	16	16

NX	1	1	1
VX	2	2	2
NX	3	3	3
ADVX	4	4	4
VX	5	5	5
VX	8	8	8
NX	9	9	9

NX	1	2	1, 2
VX	3	3	3
PX	4	6	4, 5, 6
PX	7	9	7, 8, 9
NX	11	12	11, 12

NX	1	1	1
NX	2	2	2
VX	3	3	3
PX	4	6	4, 5, 6

PX	1	3	1, 2, 3
VX	4	4	4
NX	5	6	5, 6
ADVX	7	7	7
ADVX	8	8	8
AX	9	9	9
VX	10	10	10
VX	11	11	11

NX	1	1	1
NX	2	2	2
VX	3	3	3
ADVX	4	4	4
PX	5	8	5, 6, 7, 8
VX	10	10	10
ADVX	11	11	11
NX	12	14	12, 13, 14
VX	15	15	15

NX	1	1	1

ADVX	1	1	1
NX	2	3	2, 3
VX	4	4	4

NX	1	2	1, 2
VX	3	3	3
NX	4	4	4
NX	5	7	5, 6, 7
PX	8	10	8, 9, 10
PX	11	13	11, 12, 13
VX	14	14	14

NX	1	2	1, 2
VX	3	3	3
NX	4	5	4, 5
PX	6	7	6, 7
NX	8	8	8
AX	9	9	9
NX	10	10	10
AX	11	11	11
VX	12	12	12

NX	1	2	1, 2
VX	3	3	3
ADVX	4	4	4
ADVX	5	5	5
VX	6	6	6

NX	1	2	1, 2
VX	3	3	3
PX	4	6	4, 5, 6
VX	7	7	7
VX	9	9	9
PX	10	12	10, 11, 12
VX	14	14	14
PX	15	17	15, 16, 17
PX	18	20	18, 19, 20

NX	1	1	1
VX	2	2	2
AX	3	3	3
PX	4	5	4, 5
VX	6	6	6

NX	1	1	1

NX	1	2	1, 2
PX	3	4	3, 4
NX	6	6	6
NX	9	9	9
FX	10	10	10
NX	11	11	11
NX	14	14	14
NX	15	16	15, 16
NX	18	19	18, 19
NX	22	22	22
NX	23	23	23
PX	24	26	24, 25, 26
NX	27	27	27

NX	1	2	1, 2
VX	3	3	3
NX	4	4	4
ADVX	5	5	5
AX	7	7	7
NX	11	11	11
PX	12	13	12, 13
NX	14	17	14, 15, 16, 17
AX	18	18	18
VX	19	19	19
ADVX	21	21	21
NX	22	23	22, 23
sPX	24	24	24
NX	25	25	25
PX	26	27	26, 27
PX	28	30	28, 29, 30
NX	33	36	33, 34, 35, 36
NX	37	38	37, 38
PX	39	40	39, 40
NX	42	43	42, 43
DM	45	45	45
NX	47	48	47, 48
VX	49	49	49
AX	50	50	50
NX	52	52	52
VX	53	53	53
AX	54	54	54

ADVX	1	1	1
NX	2	3	2, 3
VX	4	4	4
NX	6	6	6
VX	7	7	7
NX	8	11	8, 9, 10, 11

NX	2	2	2
NX	3	3	3
AX	4	4	4
AX	6	6	6
AX	8	8	8
NX	9	9	9
AX	12	12	12
AX	14	15	14, 15
VX	17	17	17
VX	19	19	19
NX	20	20	20
ADVX	21	21	21
NX	22	23	22, 23
VX	24	24	24

PX	1	3	1, 2, 3
VX	4	4	4
NX	5	5	5
NX	6	8	6, 7, 8
PX	9	11	9, 10, 11
PX	12	14	12, 13, 14
PX	15	16	15, 16
NX	18	18	18
NX	19	19	19
ADVX	20	20	20
VX	21	21	21
VX	22	22	22
VX	23	23	23

NX	1	2	1, 2

NX	1	1	1

NX	1	1	1
VX	2	2	2
PX	3	4	3, 4

NX	1	1	1
NX	2	2	2
VX	3	3	3
PX	4	6	4, 5, 6
NX	8	9	8, 9
NX	10	11	10, 11
NX	13	14	13, 14
NX	15	16	15, 16
VX	18	18	18
PX	21	22	21, 22
NX	23	24	23, 24
VX	25	25	25

VX	1	1	1
NX	2	2	2

NX	1	2	1, 2
NX	4	6	4, 5, 6
VX	8	8	8
NX	10	11	10, 11
PX	12	13	12, 13
VX	14	14	14
NX	19	20	19, 20
VX	21	21	21
NX	22	22	22
PX	23	23	23
VX	24	24	24

NX	1	2	1, 2
PX	3	4	3, 4
VX	5	5	5
NX	6	6	6
ADVX	7	7	7
NX	8	9	8, 9
AX	10	10	10
VC	11	11	11
NX	14	14	14
PX	15	16	15, 16
ADVX	17	17	17
PX	18	20	18, 19, 20
NX	21	22	21, 22
VX	23	23	23

ADVX	2	2	2
VX	3	3	3
NX	4	4	4
AX	5	5	5
VX	6	6	6
NX	8	8	8
NX	9	9	9
VX	10	10	10
VX	12	12	12
ADVX	13	13	13
PX	14	16	14, 15, 16

NX	1	1	1

AX	2	2	2
PX	3	4	3, 4
AX	6	6	6
PX	7	8	7, 8
VX	10	10	10
AX	11	11	11
PX	12	12	12

AX	1	1	1
